part_id,machine_id,temperature_c,pressure_bar,cycle_time_s,shift,material_batch,operator_experience_years,vibration_mm_s,humidity_percent,scrap_probability,risk_level,review_threshold,review_decision,decision_reason,root_cause_summary,suspected_driver_count,top_suspected_drivers,engineering_recommendations
NB000001,M2,196.2,6.55,54.1,night,B4,1.2,3.35,62.0,0.7248,High,0.4,ENGINEERING_REVIEW_REQUIRED,Probability exceeds configured review threshold.,"The batch shows high scrap risk mainly due to very high temperature, high vibration, and abnormal cycle time.",12,Very high temperature; High vibration; Abnormal cycle time,"Audit temperature setpoints, cooling performance, and recent thermal alarms before further review action.; Inspect machine vibration sources and check for tool wear, imbalance, or loose fixtures.; Investigate cycle time deviation, material handling delays, and machine wear indicators.; Review process temperature control and verify cooling stability around the affected batch.; Inspect pressure regulation, tooling restrictions, and fixture condition.; Trend vibration for the machine and inspect tooling if the signal persists.; Review cycle time drift and compare against recent setup or operator changes.; Use operator guidance, checklist support, or supervisor sign-off for this setup.; Inspect M2 calibration, maintenance status, and recent quality history.; Apply additional process checks during night shift production.; Quarantine or sample-check material batch B4 and compare against supplier lot history.; Check humidity controls and confirm material storage conditions."
NB000002,M1,184.0,5.75,45.5,early,B1,6.5,2.05,47.0,0.2446,Low,0.4,STANDARD_MONITORING,Low predicted risk; continue standard monitoring.,No configured root cause driver was detected for this batch.,0,,No immediate engineering action required. Continue standard process monitoring.
NB000003,M4,190.8,5.95,50.8,late,B2,3.0,2.85,52.0,0.2323,Low,0.4,STANDARD_MONITORING,Low predicted risk; continue standard monitoring.,"The batch shows low scrap risk mainly due to high temperature, elevated vibration, and long cycle time.",5,High temperature; Elevated vibration; Long cycle time,Review process temperature control and verify cooling stability around the affected batch.; Trend vibration for the machine and inspect tooling if the signal persists.; Review cycle time drift and compare against recent setup or operator changes.; Monitor M4 quality trend and confirm process settings remain within control limits.; Review shift handoff notes and confirm standard work adherence.
NB000004,M3,172.5,5.35,44.2,early,B5,8.0,2.1,45.5,0.2283,Low,0.4,STANDARD_MONITORING,Low predicted risk; continue standard monitoring.,The batch shows low scrap risk mainly due to low temperature.,1,Low temperature,"Check heating stability, warm-up completion, and material flow conditions."
NB000005,M2,188.6,6.2,48.7,night,B3,2.4,2.65,58.0,0.5116,Medium,0.4,ENGINEERING_REVIEW_REQUIRED,Probability exceeds configured review threshold.,The batch shows medium scrap risk mainly due to machine m2 risk pattern and night shift production.,2,Machine M2 risk pattern; Night shift production,"Inspect M2 calibration, maintenance status, and recent quality history.; Apply additional process checks during night shift production."
NB000006,M1,181.2,5.6,43.8,early,B4,5.1,1.95,46.0,0.3507,Medium,0.4,ADDITIONAL_MONITORING,Medium predicted risk; monitor process conditions and review if pattern repeats.,The batch shows medium scrap risk mainly due to material batch b4.,1,Material batch B4,Quarantine or sample-check material batch B4 and compare against supplier lot history.
NB000007,M3,187.5,5.9,46.0,night,B1,4.2,2.3,64.5,0.2692,Low,0.4,STANDARD_MONITORING,Low predicted risk; continue standard monitoring.,The batch shows low scrap risk mainly due to night shift production and high humidity.,2,Night shift production; High humidity,Apply additional process checks during night shift production.; Check humidity controls and confirm material storage conditions.
NB000008,M4,194.4,6.42,52.4,late,B4,1.8,3.05,59.0,0.4108,Medium,0.4,ENGINEERING_REVIEW_REQUIRED,Probability exceeds configured review threshold.,"The batch shows medium scrap risk mainly due to high temperature, high pressure, and elevated vibration.",8,High temperature; High pressure; Elevated vibration,"Review process temperature control and verify cooling stability around the affected batch.; Inspect pressure regulation, tooling restrictions, and fixture condition.; Trend vibration for the machine and inspect tooling if the signal persists.; Review cycle time drift and compare against recent setup or operator changes.; Use operator guidance, checklist support, or supervisor sign-off for this setup.; Quarantine or sample-check material batch B4 and compare against supplier lot history.; Monitor M4 quality trend and confirm process settings remain within control limits.; Review shift handoff notes and confirm standard work adherence."
NB000009,M1,185.1,5.82,46.2,early,B2,7.4,2.2,49.5,0.202,Low,0.4,STANDARD_MONITORING,Low predicted risk; continue standard monitoring.,No configured root cause driver was detected for this batch.,0,,No immediate engineering action required. Continue standard process monitoring.
NB000010,M2,191.6,5.05,51.7,late,B5,1.6,2.95,61.0,0.4304,Medium,0.4,ENGINEERING_REVIEW_REQUIRED,Probability exceeds configured review threshold.,"The batch shows medium scrap risk mainly due to high temperature, low pressure, and elevated vibration.",8,High temperature; Low pressure; Elevated vibration,"Review process temperature control and verify cooling stability around the affected batch.; Check for leaks, feed variation, clamp issues, or insufficient process force.; Trend vibration for the machine and inspect tooling if the signal persists.; Review cycle time drift and compare against recent setup or operator changes.; Use operator guidance, checklist support, or supervisor sign-off for this setup.; Inspect M2 calibration, maintenance status, and recent quality history.; Check humidity controls and confirm material storage conditions.; Review shift handoff notes and confirm standard work adherence."
